S.No,Company Name,Company profile,Country,Acquired Year,Acquired by
1188,LinkedIn,Social platform for professionals and venture capital firm focused on pre-seed and seed-stage companies,California,2016,Microsoft
1189,Revolution Analytics,Open Source Data Science,California,2015,Microsoft
1190,Talko,Provider of collaborative voice communication solutions,Washington,2015,Microsoft
1191,LiveLoop,Microsoft Powerpoint add-on for sharing presentations,California,2015,Microsoft
1192,Orions Systems,Provider of AI development services,Washington,2020,Microsoft
1193,Yammer,Social network for enterprises,California,2012,Microsoft
1194,PandoNetworks,P2P media distribution company,New York,2013,Microsoft
1195,Capptain,Mobile Analytics and Engagement platform,Paris,2014,Microsoft
1196,StorSimple,Enterprise hybrid cloud storage provider,California,2012,Microsoft
1197,VideoSurf,Video discovery company,California,2011,Microsoft
1198,Skype,VoIP Software application,Luxembourg,2011,Microsoft
1199,Canesta,Electronic perception technology using 3D CMOS image sensors using ToF principle,California,2010,Microsoft
1200,Perceptive Pixel,Manufacturer of multi-touch interface technology-based displays,New York,2012,Microsoft
1201,AVIcode,.NET application monitoring,Maryland,2010,Microsoft
1202,DATAllegro,Data warehousing application provider,California,2008,Microsoft
1203,Zoomix,Provider of database automation solutions,Massachusetts,2008,Microsoft
1204,Parature,Multichannel Customer Service Helpdesk,Virginia,2014,Microsoft
1205,Interactive Supercomputing,High-performance parallel computing product,Massachusetts,2009,Microsoft
1206,Interactive Supercomputing,Parallel computing solution,Massachusetts,2009,Microsoft
1207,Vivaty,Web-based social world platform,California,2010,Microsoft
1208,YaData,Analytics Software for marketers,Tel Aviv,2008,Microsoft
1209,Farecast,Airfare predictions using data analytics,Washington,2008,Microsoft
1210,Calista Technologies,Desktop virtualization products,California,2008,Microsoft
1211,Powerset,AI-enabled keyword based search-engine,California,2008,Microsoft
1212,3DV Systems,3D video imaging technology developer,Yokneam Illit,2009,Microsoft
1213,Kidaro,Desktop virtualization Solution,Washington,2008,Microsoft
1214,Danger,Mobile devices hardware and software provider,California,2008,Microsoft
1215,ScreenTonic,Mobile ad serving technology,Paris,2007,Microsoft
1216,AdECN,"Real-time, auction-based, neutral exchange for online display advertising",California,2007,Microsoft
1217,Opalis,"Software solution for IT process orchestration, integration, and automation",Mississauga,2009,Microsoft
1218,Softricity,Application virtualization and software streaming solutions,Massachusetts,2006,Microsoft
1219,Whale Communications,Application access control solutions provider,New Jersey,2006,Microsoft
1220,Greenfield,Bioethanol and co product manufacturer,Toronto,2008,Microsoft
1221,Assetmetrix,Asset management software,North Carolina,2006,Microsoft
1222,Massive Incorporated,In-Game advertisements at scale,New York,2006,Microsoft
1223,Parlano,Team collaboration and messaging platform,Illinois,2007,Microsoft
1224,FrontBridge,"Coud-based secure email gateway for filtering, encryption, and archiving",California,2005,Microsoft
1225,Musiwave,Provider of music services to mobile device makers,Paris,2007,Microsoft
1226,XDegrees,Provider of network security services,California,2002,Microsoft
1227,Musiwave,Mobile music entertainment services provider,Paris,2007,Microsoft
1228,Sentillion,Offers identity and access management solutions,Massachusetts,2009,Microsoft
1229,Sybari,Threat prevention solution for microsoft messaging & collaboration platform,New York,2005,Microsoft
1230,Navic Networks,Real Time TV Advertising,Massachusetts,2008,Microsoft
1231,PlaceWare,Web conferencing services,Oregon,2003,Microsoft
1232,MongoMusic,Online-platform offering search engine for music,California,2000,Microsoft
1233,LinkExchange,Advertising network for web,California,1998,Microsoft
1234,WebTV Networks,IPTV streaming services provider,Washington,1997,Microsoft
1235,Global Care Solutions,Healthcare information systems developer,Bangkok,2007,Microsoft
1236,Movere,"Provides business intelligence, cyber security, and cloud services",Washington,2019,Microsoft
1237,JClarity,Machine learning-based software performance analytics solution,London,2019,Microsoft
1238,Prodiance,Enterprise risk management solution,California,2011,Microsoft
1239,Intentional Software Corporation,Enterprise collaborative idea management solution,Washington,2017,Microsoft
1240,Movial,Provides application development services,Helsinki,2020,Microsoft
1241,Equivio,Review platform,Herzliya,2015,Microsoft
1242,Onfolio Holdings,Provider of digital marketing services,Taipei,2006,Microsoft
1243,Groove Networks,Software solution to collaborate with team members over a network,Massachusetts,2005,Microsoft
1244,Pressplay,Indie video game development company,Copenhagen,2001,Microsoft
1245,Obsidian Entertainment,Video game developer for PC and console devices,California,2018,Microsoft
1246,maxsw.com,Data analysis solutions provider,,2000,Microsoft
1247,Deis,Open-source tools for managing Kubernetes deployments.,California,2017,Microsoft
1248,STNC,Mobile application development service,Cambridge,1999,Microsoft
1249,The Marsden Group,Diversified conglomerate operating across multiple industries,Aberdeen,2021,Microsoft
1250,Navision,Integrated business software solution for SMBs,Vedbaek,2002,Microsoft
1251,MetricsHub,Active Cloud Monitoring,Washington,2013,Microsoft
1252,Shadowfactor,Player communication solutions provider for the gaming industry,Washington,1999,Microsoft
1253,Miburo,Service provider of IT associations,New York,2022,Microsoft
1254,Mixer,Interactive game streaming platform,Washington,2016,Microsoft
1255,FieldOne,Field service management software for enterprises,New Jersey,2015,Microsoft
1256,Swng,Mobile app to create live photos,California,2017,Microsoft
1257,Compulsion Games,Video game developer for PC and console devices,Montreal,2018,Microsoft
1258,N Compass labs,Provider of enterprise collaboration services,,2001,Microsoft
1259,The Green Button,Provider of managed cloud services,,2014,Microsoft
1260,Engyro,Software solution to integrate and consolidate IT operations,Germany,2007,Microsoft
1261,Alacris,Limited information available,Washington,2005,Microsoft
1262,Xbox,Gaming console brand,New York,2000,Microsoft
1263,Echo,Notifications sorting app,California,2015,Microsoft
1264,DataSense,Provider of cloud-based data analytics solution for schools,Ohio,2019,Microsoft
1265,aQuantive,Online ad serving technology and network,Washington,2007,Microsoft
1266,Hellblade,Offers PC based gaming application,Cambridge,2018,Microsoft
1267,FolderShare,File-synchronization solution provider,Texas,2005,Microsoft
1268,Teleo,VoIP software and services provider,California,2005,Microsoft
1269,Apptimum,PC relocator & application transfer service provider,Washington,2006,Microsoft
1270,compare.net,Provider of software development services,San Jose,1999,Microsoft
1271,Credentica,User identity verification solutions provider,Canada,2008,Microsoft
1272,Visio,Cloud-based flowchart and diagram maker software,Washington,1999,Microsoft
1273,String Bean Software,iSCSI based SAN solutions for Windows,Maryland,2006,Microsoft
1274,GreenButton Limited,High performance compute platform,Wellington,2014,Microsoft
1275,numinous.com,"Provider of a solution to create, store, retrieve and display images",Taiwan,1999,Microsoft
1276,MultiMap,Provider of mapping solution,Washington,2007,Microsoft
1277,Ninja Theory,Limited information available,Cambridge,2018,Microsoft
1278,Lobe,Computer vision based tools for building custom deep learning models,California,2018,Microsoft
1279,Vexcel,"Provider of aerial camera systems, mobile mapping platforms, and photogrammetry software",Colorado,2006,Microsoft
1280,Glimpse,Real-time diagnostics and insights for web applications,Oregon,2015,Microsoft
1281,NAVIC Group,IT and consulting services,Stavanger,2008,Microsoft
1282,Interix,Provider of office software distribution services,Washington,1999,Microsoft
1283,Datazen,BI Visualization solutions,Toronto,2015,Microsoft
1284,HDCD,Provider of HDCD digital audio technology,Washington,2000,Microsoft
1285,Seadragon.net,Provider of interface visual imaging and mapping technology,,2006,Microsoft
1286,ProClarity,BI and analytics suite from Microsoft solutions,Idaho,2006,Microsoft
1287,Motion Bridge,Blog focusing on rules and tactics for bridge game related topics,Colorado,2006,Microsoft
1288,Groove,Algo-based playlist curation platform,Hawaii,2016,Microsoft
1289,ActiveViews,Data discovery and exploration solutions provider,,2004,Microsoft
1290,Sendit,Developer of software solutions for cellular providers,Stockholm,1999,Microsoft
1291,Peach Networks,Provider of interactive streaming devices,Massachusetts,2000,Microsoft
1292,Rare,Video game developer for console platforms,Hinckley,2002,Microsoft
1293,Xandr,Platform offering TV ad exchange software,New York,2021,Microsoft
1294,Pelican Security,Limited information available,,2003,Microsoft
1295,Hotmail,Provider of email web service,California,1997,Microsoft
1296,GIANT Company Software,Internet security products provider,New York,2004,Microsoft
1297,Undead Labs,Video game developer for PC and console devices,Washington,2018,Microsoft
1298,Stratature,Master data management vendor,Georgia,2007,Microsoft
1299,dimensionx.com,Provider of website development services,California,1997,Microsoft
1300,Medstory,Online platform offering search engine for medical sector,California,2007,Microsoft
1301,Forerunner Software,SaaS-based Mobile Business Intelligence Solution,Washington,2018,Microsoft
1302,Ensemble Studios,Video game developer focusing on core games,Texas,2001,Microsoft
1303,Media-streams.com,Unified communication solutions provider,Zurich,2005,Microsoft
1304,MobiComp,"Develops software that enables users to back-up, share and discover content on mobile phones",Washington,2008,Microsoft
1305,NCompass,Provider of enterprise collaboration services,Ahmedabad,2001,Microsoft
1306,media-streams.com,VoIP software applications provider,Zurich,2005,Microsoft
1307,Minecraft,Minecraft game,Stockholm,2014,Microsoft
1308,HockeyApp,Manage app distribution and collect live crash reports,Stuttgart,2014,Microsoft
1309,Informatica,AI based enterprise data integration and preparation software,California,2015,Microsoft
1310,PhoneFactor,Mobile device based MFA solution for enterprise,Kansas,2012,Microsoft
1311,Solair,Provides IoT software modules to help customers connect their IoT devices,Italy,2016,Microsoft
1312,Rosetta Biosoftware,Life Science Informatics Solutions,Washington,2009,Microsoft
1313,zoomit.com,Provider of software development services,Norway,1999,Microsoft
1314,Havok,Graphics middleware tool developer,Dublin,2015,Microsoft
1315,Obsidian,Developer of industrial metal 3D printers,Connecticut,2018,Microsoft
1316,Vicinity,Provider of location based technology solutions,California,2002,Microsoft
1317,BigPark,Developer of core video games,Vancouver,2009,Microsoft
1318,Teleo,Online platform for document collaboration,Singapore,2005,Microsoft
1319,Playground Games,Video game developer focusing on casual games,Leamington Spa,2018,Microsoft
1320,Rtos,Manufacturer of the real-time operating systems,California,2019,Microsoft
1321,Netbreeze,Social Media Monitoring analytics tool,Zurich,2013,Microsoft
1322,Netgamesusa.com,Score reporting solutions provider for online games,,2000,Microsoft
1323,digitalanvil.com,Video game developer focusing on core games,Texas,2000,Microsoft
1324,Adxstudio,Cloud-based application lifecycle management solution provider,Regina,2015,Microsoft
1325,RAV Antivirus,Antivirus solution for the ISP and Linux users,Bucharest,2003,Microsoft
1326,Kinvolk,Provider of open-source and cloud-based container infrastructure,Berlin,2021,Microsoft
1327,Caligari,Providers of 3D modelling and animation solutions,California,2008,Microsoft
1328,Solvera Solutions,Provides IT services suite solutions,Regina,2022,Accenture
1329,Bit2win,Cloud-based apps for enterprises,Rome,2016,Accenture
1330,ADVOCATE,Business management solutions firm,,2022,Accenture
1331,CreativeDrive,Studio network for digital content services,New York,2020,Accenture
1332,BRIDGEi2i,Big data analytics services for enterprises,Bangalore,2021,Accenture
1333,OCTO Technology,A technology consulting firm in IT architecture,Paris,2016,Accenture
1334,Infinity Works,Computer software company,Leeds,2021,Accenture
1335,Byte Prophecy,Platform for text and numeric analysis,Ahmedabad,2020,Accenture
1336,Myrtle,Management consulting solutions provider,Texas,2020,Accenture
1337,Pillar Technology,Service for software testing,Ohio,2018,Accenture
1338,iTrigger,"ERP, CRM, and marketing tools for various enterprises",Hangzhou,2020,Accenture
1339,The Stable,Consumer brand agency representing clients across all channels of commerce,Minnesota,2022,Accenture
1340,Glamit Argentina,End-to-End e-Commerce Solutions,Buenos Aires,2021,Accenture
1341,Edenhouse,Provider of SAP technologies and SAP cloud innovations,Coleshill,2021,Accenture
1342,Revolutionary Security,Provider of cybersecurity services,Pennsylvania,2020,Accenture
1343,Phase One Consulting Group,IT consulting and salesforce implementation services,Virginia,2017,Accenture
1344,LinkByNet,Managed services provider for IT and cloud related services,Paris,2021,Accenture
1345,DayNine,Information technology service provider,California,2016,Accenture
1346,N3,Outsourced Inside Sales and End-to-End Sales with both digital and tele-based expertise,Georgia,2020,Accenture
1347,ThinkTank,Collaboration-as-a service software,Colorado,2021,Accenture
1348,Cirrus,Provider of management consulting services,London,2021,Accenture
1349,Mackevision,Developer of computer generated imagery (CGI),Stuttgart,2018,Accenture
1350,Clarity Insights,Provider of data and analytics services,Illinois,2019,Accenture
1351,Workforce Insight,Workforce management consulting and technology services,Colorado,2021,Accenture
1352,Cloud Sherpas,Global cloud advisory and technology services company,Georgia,2015,Accenture
1353,Adaptly,Social ad campaign manager,New York,2018,Accenture
1354,BRIDGE Energy Group,Consultants for smart grid,Massachusetts,2019,Accenture
1355,Karmarama,Integrated Communication Agency,London,2016,Accenture
1356,ClearEdge,Training services,Massachusetts,2021,Accenture
1357,Arismore,Limited information available,Saint-cloud,2017,Accenture
1358,Mortgage Cadence,Provider of mortgage solutions for loan management,Colorado,2013,Accenture
1359,Fjordnet,Consultancy firm for designing services,London,2013,Accenture
1360,avVenta Worldwide,Digital production and marketing services,New York,2012,Accenture
1361,Octagon Research,Provider of clinical and regulatory information management software,Pennsylvania,2012,Accenture
1362,Origin Digital,Limited information available,New Jersey,2008,Accenture
1363,S3Group Silicon,Product & Service provider for semiconductor & health industries,Dublin,2015,Accenture
1364,Accenture Duck Creek,Software for insurance industry,Tennessee,2011,Accenture
1365,NewsPage,Distributor management and mobility software solution,Singapore,2012,Accenture
1366,Procurian,"Procurement, accounts payable, supplier relationship management solution",Pennsylvania,2013,Accenture
1367,Epylon,eProcurement software for government agencies and education institutions,California,2001,Accenture
1368,SALT Solutions,Provider of supply chain management & ERP services,Wurzburg,2020,Accenture
1369,CORE COMPETE,Provider of IT service suite solutions,North Carolina,2021,Accenture
1370,BCT Solutions,Technology consulting & services firm,Australia,2019,Accenture
1371,Sutter Mills,Provider of IT and data -driven marketing services,Paris,2019,Accenture
1372,Cygni,Provider of IT consulting services,Stockholm,2021,Accenture
1373,The Monkeys,Advertising agency,Sydney,2017,Accenture
1374,solid-serVision.com,Provider of service management solutions,Wilsdruff,2017,Accenture
1375,Allen International,Provider of design consultancy services,London,2016,Accenture
1376,INSITUM,Limited information available,Illinois,2019,Accenture
1377,Nell'Armonia,Provider of ERP consulting & implementation and performance management services,Levallois-perret,2021,Accenture
1378,ETHICA Consulting,Provider of business management consulting and IT services,Villorba,2021,Accenture
1379,Altitude,Provider of product design and development consulting services,Massachusetts,2017,Accenture
1380,Callisto Integration,Provider of IOT and manufacturing consulting services,Oakville,2020,Accenture
1381,Boomerang Pharma Communications,Healthcare marketing & communications agency,Mulhouse,2015,Accenture
1382,Blue Horseshoe,Provider of supply chain management solutions and services,Indiana,2021,Accenture
1383,OPENMINDED,"Provider of cyber security, networking, consulting, and other services",Paris,2021,Accenture
1384,BeesPath,Loan origination software,Texas,2017,Accenture
1385,Clearhead,Digital consulting and optimization services provider,Texas,2017,Accenture
1386,Context Information Security,Managed cybersecurity consulting service,London,2020,Accenture
1387,SolutionsIQ,Services related to advisory and development of products based on agile model of delivery,Washington,2017,Accenture
1388,Corliant,Technology consulting firm,Pennsylvania,2007,Accenture
1389,Icon Integration,Provider of data analytics and supply chain management services,Sydney,2020,Accenture
1390,PLM Systems,Provider of product development and consulting services,Turin,2020,Accenture
1391,SILVEO,Provider of consulting services in supply chain & manufacturing areas,Neuilly-sur-seine,2019,Accenture
1392,ARZ,"Provider of software development, consulting, and network services",Innsbruck,2022,Accenture
1393,Mindtribe,Product engineering consultancy,California,2018,Accenture
1394,Kolle Rebbe,Marketing and advertising company,Hamburg,2018,Accenture
1395,NaviSys,Provides positioning and wireless communication solutions,Texas,2006,Accenture
1396,maihiro,Field sales route optimization software,Ismaning,2020,Accenture
1397,Ho Communication,Provider of digital marketing services,Huangpu,2018,Accenture
1398,Homburg & Partner,Provider of management consulting and market research services,Mannheim,2021,Accenture
1399,Founders Intelligence,Provider of business consulting services,London,2021,Accenture
1400,Kates Kesler Organization Consulting,"Provider of organization design, surveys, and leadership strategy services",New York,2020,Accenture
1401,T.A. Cook,Provider of management consulting and business management services,Berlin,2021,Accenture
1402,DAZ Systems,Provider of a suite of IT services,California,2018,Accenture
1403,Hytracc Consulting,Hydrocarbon accounting solutions,Stavanger,2014,Accenture
1404,S3 TV Technology,Media delivery solutions provider for TV broadcasters,Dublin,2015,Accenture
1405,Red Core Information Technology Solutions,Provider of IT services suite,Mandaluyong,2016,Accenture
1406,Risk Control,Limited information available,,2010,Accenture
1407,Chaotic Moon,Creative technology studio,Texas,2015,Accenture
1408,Total Logistics,Supply Chain and operations Consultancy,Roermond,2015,Accenture
1409,Industrie,"Provider of software development, cloud and DevOps services",Sydney,2021,Accenture
1410,Pollux,"Provider of sensors, industrial ID readers for data matrix and surface inspection systems",Joinville,2021,Accenture
1411,GRA,"Provider of supply chain management consulting, logistics, and procurement services",,2021,Accenture
1412,LemonXL,Digital Marketing Agency,Hong Kong,2015,Accenture
1413,Knowledge Rules,Management Consulting Services,Pennsylvania,2010,Accenture
1414,Avieco,Provider of environmental reporting and carbon offsetting services,London,2022,Accenture
1415,Genfour,Robotic process automation for back office tasks,Cwmbran,2017,Accenture
1416,Acceria,Business Process and Methodologies,Boulogne-billancourt,2010,Accenture
1417,AD.Dialeto,Full service marketing agency,Sao Paulo,2015,Accenture
1418,Alfa Consulting,Provider of business strategy consulting services,Barcelona,2022,Accenture
1419,OpusLine,Provider of healthcare management consulting services,Paris,2020,Accenture
1420,Orbium,Provider of management consulting services,Zurich,2019,Accenture
1421,King James,Provider of branding services,Cape Town,2021,Accenture
1422,Business Net System,Provider of e-commerce support services,Minato,2021,Accenture
1423,Zag,"Provider of ERP consulting, cloud and data analytics services",Auckland,2020,Accenture
1424,Pixo Punch Limited,Digital ad agency providing online advertising solutions.,Hong Kong,2015,Accenture
1425,Hagberg Consulting Group,Limited information available,Washington,2006,Accenture
1426,Deja vu Security,IT security research and consulting services for application & embedded device security,Washington,2019,Accenture
1427,openmind,Provider of business consulting management services,Monza,2021,Accenture
1428,AppsPro,Provider of IT service suite solutions,Riyadh,2021,Accenture
1429,Knowledgent,Limited information available,New Jersey,2018,Accenture
1430,LabAnswer,Provider of IT service suite solutions,Texas,2017,Accenture
1431,Enaxis Consulting,Provider of management consulting services,Texas,2018,Accenture
1432,Javelin Group,"Retail, digital strategy and technology development services",London,2015,Accenture
1433,Maglan,"Cyber simulation, forensics and vulnerability assessment service",Rishon Lezion,2016,Accenture
1434,MOBGEN,Provider of application development services,Amsterdam,2016,Accenture
1435,BIIT Consulting,"Provider of consulting, implementation, support & training services",Kuala Lumpur,2021,Accenture
1436,Michael Eakes,Limited information available,California,2006,Accenture
1437,Real Protect,Provider of IT security services,Rio De Janeiro,2021,Accenture
1438,Sentelis,Provider of IT service suite solutions,Neuilly-sur-seine,2020,Accenture
1439,H B Maynard,Provider of software consulting and training services,Pennsylvania,2007,Accenture
1440,Headspring,Custom software services,Texas,2021,Accenture
1441,Entropia,Provider of marketing services,Kuala Lumpur,2021,Accenture
1442,Olikka,Provider of digital transformation services,Melbourne,2020,Accenture
1443,Eclipse Automation,Designs and manufactures industrial automation products,Cambridge,2022,Accenture
1444,Digiplug,Mobile-content repurposing and Distribution services,Paris,2007,Accenture
1445,Tambourine,Provider of cloud application development services,Chiyoda-ku,2021,Accenture
1446,XtremeEDA,Provider of system integration and hardware security services,Ottawa,2022,Accenture
1447,Wolox,Software development services,Buenos Aires,2021,Accenture
1448,Yesler,Provider of digital marketing and staffing services,Washington,2020,Accenture
1449,ASM Research,IT and professional services to government agencies.,Virginia,2013,Accenture
1450,New Energy Group,Provider of management consulting services,Milano,2016,Accenture
1451,IDefense,Threat intelligence and security vunerability management solution,Virginia,2017,Accenture
1452,Novetta,Provider of the cyber security & defense intelligence analytics solutions,Virginia,2021,Accenture
1453,Droga5,Provider of marketing solutions,New York,2019,Accenture
1454,Interactive Broadband Consulting Group,"Cable, media, wireless, and technology consulting",Pennsylvania,2017,Accenture
1455,Random Walk,Software developement firm,New York,2006,Accenture
1456,Nashco Consulting,Limited information available,Cochrane,2016,Accenture
1457,SinnerSchrader,Digital agency,Hamburg,2017,Accenture
1458,Enimbos,Cloud enabler company,Madrid,2020,Accenture
1459,New Content,Provider of branding and marketing services,Sao Paulo,2018,Accenture
1460,Enkitec,Oracle Database and Engineered Systems,Texas,2014,Accenture
1461,Wire Stone,Digital Branding and Marketing Agency,California,2017,Accenture
1462,Acquity Group,Digital Marketing service provider,Illinois,2013,Accenture
1463,BCS Consulting,Provider of management consulting and business management services,London,2021,Accenture
1464,Future State,Provider of diversified management consulting services,California,2021,Accenture
1465,dgroup,Digital transformation consulting services,Hamburg,2016,Accenture
1466,ESR Labs,"Provider of software development, AI, and cloud computing services",Munich,2020,Accenture
1467,Realworld Systems,Provider of asset management services,Culemborg,2016,Accenture
1468,CS Technology,Provider of IT service suite solutions,New York,2021,Accenture
1469,Gekko,Cloud consulting and integration services,Levallois-perret,2020,Accenture
1470,designaffairs,Provider of consulting services,Munich,2018,Accenture
1471,Focus Group Europe,"Services for implementation, advisory and optimization of ITSM systems based on ServiceNow.",London,2017,Accenture
1472,Brand Learning,Provider of management consulting services,London,2017,Accenture
1473,?What If!,Innovation consulting solutions provider,London,2019,Accenture
1474,Kogentix,Provides automated machine learning platform,Illinois,2018,Accenture
1475,MAUD,Provider of branding services,Sydney,2017,Accenture
1476,fable+,AI-based employee engagement and workplace culture management software for enterprises,Mannheim,2021,Accenture
1477,Brightstep,"eCommerce, brand management and digital marketing solutions company",Stockholm,2015,Accenture
1478,FusionX,Cyber risk assessment services & consulting,Virginia,2015,Accenture
1479,Cloudworks,Offers cloud-based supply chain management solutions,Toronto,2021,Accenture
1480,Certus Solutions,Provider of system integrator services,Auckland,2018,Accenture
1481,Fairway Technologies,Provider of application development services,California,2019,Accenture
1482,IMJ Corporation,Web integration and marketing services,Tokyo,2016,Accenture
1483,SagaciousConsultants,Healthcare consulting for clinical revenue and patient care improvement,Kansas,2015,Accenture
1484,End-to-End Analytics,Provider of management consulting services,California,2020,Accenture
1485,Imaginea,Provider of IT services suite,California,2021,Accenture
1486,Neo Metrics,Inappropriate content,Madrid,2012,Accenture
1487,Certus Solutions,Oracle cloud service provider,Guildford,2018,Accenture
1488,Defense Point Security,Managed cyber security and consulting service,Virginia,2016,Accenture
1489,Kunstmaan,"Provider of design, branding, and advertising solutions",Leuven,2017,Accenture
1490,PRION Group,Consulting and system integration company with specialisation in PLM and CAD solutions,Stuttgart,2013,Accenture
1491,Wabion,"Provider of digital transformation, application development and data analytics services",Germany,2021,Accenture
1492,Gevity,"Informatic & management consulting company focuses on healthcare, social services, and life science markets",Vancouver,2021,Accenture
1493,Zestgroup,"Provider of project, contract & claim management services",Ijsselstein,2021,Accenture
1494,Tenbu,Provider of cloud computing and managed services,Sao Paulo,2022,Accenture
1495,Agilex Technologies,IT services company that serves federal agencies,Virginia,2015,Accenture
1496,Vivere Brasil Credit Solutions,Mortgage origination software provider,Sao Paulo,2013,Accenture
1497,Advoco,Provider of EAM consultancy services,California,2021,Accenture
1498,PrimeQ,Provides ERP services,Adelaide,2018,Accenture
1499,2nd Road,Provider of digital design services,Sydney,2016,Accenture
1500,Pragsis Bidoop,"Provider of IT consulting, security, big data analytics, and marketing services",Madrid,2019,Accenture
1501,PCO Innovation,PLM consulting and system integration services,Dublin,2013,Accenture
1502,altima,Provider of e-commerce development services,Paris,2018,Accenture
1503,umlaut,Provider of engineering consulting services,Aachen,2021,Accenture
1504,ERGO,"Provider of digital transformation, data management and machine learning services",Buenos Aires,2022,Accenture
1505,Enterprise System Partners,Provider of consulting services for biotechnology and pharmaceutical companies,Ireland,2019,Accenture
1506,Tirvadis,Services related to the support and maintenance of IT infrastructure and applications,Switzerland,2021,Accenture
1507,Rtap.io,Reusable components for building applications,USA,2018,Accenture
1508,Root,Provider of enterprise collaboration services,USA,2021,Accenture
1509,VanBerlo,Provider of management consulting services,Netherlands,2020,Accenture
1510,akzente,Provider of business strategy services,Germany,2022,Accenture
1511,Northstream,Provider of management consulting services,Sweden,2019,Accenture
1512,Avenai,Provider of data analytics services,Canada,2020,Accenture
1513,Xoomworks,Provider of web-based procurement solutions,UK,2021,Accenture
1514,Romp,Provider of branding services,Indonesia,2022,Accenture
1515,Intrepid,Mobile application development services,USA,2017,Accenture
1516,Intrigo Systems,"Provider of advisory, support and supply chain services",USA,2018,Accenture
1517,Kaplan,Marketing and advertising company,Sweden,2018,Accenture
1518,HRC Retail Advisory,Retailer of consumer products,USA,2021,Accenture
1519,Rothco,Provider of marketing and advertising services,Ireland,2018,Accenture
1520,AFD.TECH,"Provider of IT consulting, software development, and other services",France,2021,Accenture
1521,Analytics8,Provides data analytics solutions for business intelligence,USA,2019,Accenture
1522,NIKE Group,Provider of regulatory and security consulting services,Italy,2020,Accenture
1523,Hjaltelin Stahl,Provider of marketing services,Denmark,2019,Accenture
1524,Arca,Provides network maintenance and operation services,Spain,2020,Accenture
1525,YSC,Provider of strategy consulting services,New Zealand,2022,Accenture
,,,,,
